location,lat,lng,location_cmp,lat_cmp,lng_cmp,dist,top_label
Melbourne,-37.8142176,144.9631608,Watsonia,-37.7110022,145.083635,0.15864252791353503,top_1
Melbourne,-37.8142176,144.9631608,MelbourneAirport,-37.667111000000006,144.83348076679553,0.19610523393185963,top_2
Melbourne,-37.8142176,144.9631608,Ballarat,-37.5623025,143.8605649,1.1310079293730797,top_3
MelbourneAirport,-37.667111000000006,144.83348076679553,Melbourne,-37.8142176,144.9631608,0.19610523393185963,top_1
MelbourneAirport,-37.667111000000006,144.83348076679553,Watsonia,-37.7110022,145.083635,0.25397554572743547,top_2
MelbourneAirport,-37.667111000000006,144.83348076679553,Ballarat,-37.5623025,143.8605649,0.9785448919363506,top_3
Mildura,-34.1847265,142.1624972,Nhil,-35.4713087,141.3062355,1.545470108492462,top_1
Mildura,-34.1847265,142.1624972,Nuriootpa,-34.4693354,138.9939006,3.181352957389478,top_2
Mildura,-34.1847265,142.1624972,Bendigo,-36.7588767,144.2825931,3.3348247146374845,top_3
Moree,-29.4617202,149.8407153,CoffsHarbour,-30.2962407,153.1135293,3.377534003310155,top_1
Moree,-29.4617202,149.8407153,Brisbane,-27.4689682,153.0234991,3.7551528931651372,top_2
Moree,-29.4617202,149.8407153,GoldCoast,-28.0023731,153.4145987,3.8603544545901434,top_3
MountGambier,-37.8246698,140.7820067624113,Dartmoor,-37.9225444,141.2766551,0.5042384507397505,top_1
MountGambier,-37.8246698,140.7820067624113,Portland,-38.3456231,141.6042304,0.9733673771965492,top_2
MountGambier,-37.8246698,140.7820067624113,Nhil,-35.4713087,141.3062355,2.4110421473518606,top_3
MountGinini,-35.5297196,148.7726345,Tuggeranong,-35.4209771,149.0921341,0.33749803807786766,top_1
MountGinini,-35.5297196,148.7726345,Canberra,-35.2975906,149.1012676,0.4023475948189624,top_2
MountGinini,-35.5297196,148.7726345,WaggaWagga,-35.115,147.3677778,1.4647916896811908,top_3
Newcastle,-32.9192953,151.7795348,Williamtown,-32.815,151.8427778,0.12197207324256984,top_1
Newcastle,-32.9192953,151.7795348,NorahHead,-33.2816667,151.5677778,0.4197071104793948,top_2
Newcastle,-32.9192953,151.7795348,Sydney,-33.8548157,151.2164539,1.0919059111301486,top_3
Nhil,-35.4713087,141.3062355,Mildura,-34.1847265,142.1624972,1.545470108492462,top_1
Nhil,-35.4713087,141.3062355,MountGambier,-37.8246698,140.7820067624113,2.4110421473518606,top_2
Nhil,-35.4713087,141.3062355,Dartmoor,-37.9225444,141.2766551,2.4514141749240665,top_3
NorahHead,-33.2816667,151.5677778,Newcastle,-32.9192953,151.7795348,0.4197071104793948,top_1
NorahHead,-33.2816667,151.5677778,Williamtown,-32.815,151.8427778,0.5416666953846225,top_2
NorahHead,-33.2816667,151.5677778,Sydney,-33.8548157,151.2164539,0.6722560962253885,top_3
NorfolkIsland,-29.0289575,167.9587289126371,GoldCoast,-28.0023731,153.4145987,14.580315468893897,top_1
NorfolkIsland,-29.0289575,167.9587289126371,CoffsHarbour,-30.2962407,153.1135293,14.899193207957357,top_2
NorfolkIsland,-29.0289575,167.9587289126371,Brisbane,-27.4689682,153.0234991,15.01647948663062,top_3
Nuriootpa,-34.4693354,138.9939006,Adelaide,-34.9281805,138.5999312,0.6047732748149317,top_1
Nuriootpa,-34.4693354,138.9939006,Nhil,-35.4713087,141.3062355,2.5200879317339346,top_2
Nuriootpa,-34.4693354,138.9939006,Mildura,-34.1847265,142.1624972,3.181352957389478,top_3
PearceRAAF,-31.6739604,116.01754351808195,PerthAirport,-31.9406095,115.96760765137932,0.271284598372546,top_1
PearceRAAF,-31.6739604,116.01754351808195,Perth,-31.9527121,115.8604796,0.31995559788217887,top_2
PearceRAAF,-31.6739604,116.01754351808195,Witchcliffe,-34.0263348,115.1004768,2.524812207509497,top_3
Penrith,-33.7510792,150.6941684,BadgerysCreek,-33.8816671,150.7441627,0.13983071786593015,top_1
Penrith,-33.7510792,150.6941684,SydneyAirport,-33.9498935,151.18196819346016,0.5267596837119132,top_2
Penrith,-33.7510792,150.6941684,Sydney,-33.8548157,151.2164539,0.5324879387765611,top_3
Perth,-31.9527121,115.8604796,PerthAirport,-31.9406095,115.96760765137932,0.10780951868499436,top_1
Perth,-31.9527121,115.8604796,PearceRAAF,-31.6739604,116.01754351808195,0.31995559788217887,top_2
Perth,-31.9527121,115.8604796,Witchcliffe,-34.0263348,115.1004768,2.208509759535409,top_3
PerthAirport,-31.9406095,115.96760765137932,Perth,-31.9527121,115.8604796,0.10780951868499436,top_1
PerthAirport,-31.9406095,115.96760765137932,PearceRAAF,-31.6739604,116.01754351808195,0.271284598372546,top_2
PerthAirport,-31.9406095,115.96760765137932,Witchcliffe,-34.0263348,115.1004768,2.2587974545040397,top_3
Portland,-38.3456231,141.6042304,Dartmoor,-37.9225444,141.2766551,0.5350711761661082,top_1
Portland,-38.3456231,141.6042304,MountGambier,-37.8246698,140.7820067624113,0.9733673771965492,top_2
Portland,-38.3456231,141.6042304,Ballarat,-37.5623025,143.8605649,2.388438095968711,top_3
Richmond,-20.569655,142.9283602143393,Townsville,-19.2569391,146.8239537,4.11082371789826,top_1
Richmond,-20.569655,142.9283602143393,Cairns,-16.9206657,145.7721854,4.6262797794894155,top_2
Richmond,-20.569655,142.9283602143393,AliceSprings,-23.6983884,133.8812885,9.572798926785923,top_3
Sale,-38.1050358,147.0647902,Watsonia,-37.7110022,145.083635,2.019960000697061,top_1
Sale,-38.1050358,147.0647902,Albury,-36.0804766,146.9162795,2.029998862639867,top_2
Sale,-38.1050358,147.0647902,Melbourne,-37.8142176,144.9631608,2.1216553349674006,top_3
SalmonGums,-32.9815347,121.6439417,Albany,-35.0247822,117.883608,4.279599266474838,top_1
SalmonGums,-32.9815347,121.6439417,Walpole,-34.9776796,116.7310063,5.302973572097936,top_2
SalmonGums,-32.9815347,121.6439417,PerthAirport,-31.9406095,115.96760765137932,5.770987220876981,top_3
Sydney,-33.8548157,151.2164539,SydneyAirport,-33.9498935,151.18196819346016,0.10113877598820194,top_1
Sydney,-33.8548157,151.2164539,BadgerysCreek,-33.8816671,150.7441627,0.47305388200436604,top_2
Sydney,-33.8548157,151.2164539,Penrith,-33.7510792,150.6941684,0.5324879387765611,top_3
SydneyAirport,-33.9498935,151.18196819346016,Sydney,-33.8548157,151.2164539,0.10113877598820194,top_1
SydneyAirport,-33.9498935,151.18196819346016,BadgerysCreek,-33.8816671,150.7441627,0.4430897107368381,top_2
SydneyAirport,-33.9498935,151.18196819346016,Penrith,-33.7510792,150.6941684,0.5267596837119132,top_3
Townsville,-19.2569391,146.8239537,Cairns,-16.9206657,145.7721854,2.5621065466589075,top_1
Townsville,-19.2569391,146.8239537,Richmond,-20.569655,142.9283602143393,4.11082371789826,top_2
Townsville,-19.2569391,146.8239537,Brisbane,-27.4689682,153.0234991,10.289401591244653,top_3
Tuggeranong,-35.4209771,149.0921341,Canberra,-35.2975906,149.1012676,0.12372408498146342,top_1
Tuggeranong,-35.4209771,149.0921341,MountGinini,-35.5297196,148.7726345,0.33749803807786766,top_2
Tuggeranong,-35.4209771,149.0921341,WaggaWagga,-35.115,147.3677778,1.7512928467489774,top_3
Uluru,-25.344857,131.0325171,AliceSprings,-23.6983884,133.8812885,3.2903430429430833,top_1
Uluru,-25.344857,131.0325171,Woomera,-31.1999142,136.8253532,8.236421850338585,top_2
Uluru,-25.344857,131.0325171,Katherine,-14.4646157,132.2635993,10.949667306789854,top_3
WaggaWagga,-35.115,147.3677778,Albury,-36.0804766,146.9162795,1.0658310279075376,top_1
WaggaWagga,-35.115,147.3677778,MountGinini,-35.5297196,148.7726345,1.4647916896811908,top_2
WaggaWagga,-35.115,147.3677778,Canberra,-35.2975906,149.1012676,1.7430795202492633,top_3
Walpole,-34.9776796,116.7310063,Albany,-35.0247822,117.883608,1.1535637536649759,top_1
Walpole,-34.9776796,116.7310063,Witchcliffe,-34.0263348,115.1004768,1.887772067506382,top_2
Walpole,-34.9776796,116.7310063,PerthAirport,-31.9406095,115.96760765137932,3.131544712922026,top_3
Watsonia,-37.7110022,145.083635,Melbourne,-37.8142176,144.9631608,0.15864252791353503,top_1
Watsonia,-37.7110022,145.083635,MelbourneAirport,-37.667111000000006,144.83348076679553,0.25397554572743547,top_2
Watsonia,-37.7110022,145.083635,Ballarat,-37.5623025,143.8605649,1.2320763248654825,top_3
Williamtown,-32.815,151.8427778,Newcastle,-32.9192953,151.7795348,0.12197207324256984,top_1
Williamtown,-32.815,151.8427778,NorahHead,-33.2816667,151.5677778,0.5416666953846225,top_2
Williamtown,-32.815,151.8427778,Sydney,-33.8548157,151.2164539,1.2138773898865145,top_3
Witchcliffe,-34.0263348,115.1004768,Walpole,-34.9776796,116.7310063,1.887772067506382,top_1
Witchcliffe,-34.0263348,115.1004768,Perth,-31.9527121,115.8604796,2.208509759535409,top_2
Witchcliffe,-34.0263348,115.1004768,PerthAirport,-31.9406095,115.96760765137932,2.2587974545040397,top_3
Wollongong,-34.4243941,150.89385,SydneyAirport,-33.9498935,151.18196819346016,0.5551242318644681,top_1
Wollongong,-34.4243941,150.89385,BadgerysCreek,-33.8816671,150.7441627,0.562991016189676,top_2
Wollongong,-34.4243941,150.89385,Sydney,-33.8548157,151.2164539,0.6545936373367672,top_3
Woomera,-31.1999142,136.8253532,Nuriootpa,-34.4693354,138.9939006,3.9232273460833462,top_1
Woomera,-31.1999142,136.8253532,Adelaide,-34.9281805,138.5999312,4.129055180280314,top_2
Woomera,-31.1999142,136.8253532,Mildura,-34.1847265,142.1624972,6.115080583521956,top_3
